date;Tschechien;Niederlande;Belgien;Polen;Norwegen;Dänemark;Frankreich;Österreich;Schweiz;Russland;Deutschland Import
01.01.2022;647;534;506;0;1260;0;0;0;62;1639;4647
02.01.2022;644;601;541;0;1241;0;0;1;0;1652;4679
03.01.2022;654;621;490;0;1234;0;0;0;0;1633;4632
04.01.2022;643;612;415;0;1246;0;0;0;0;1631;4547
05.01.2022;644;657;121;0;1297;0;0;0;0;1652;4372
06.01.2022;647;603;246;0;1315;0;0;12;0;1639;4461
07.01.2022;646;601;303;0;1322;0;0;9;0;1653;4534
08.01.2022;639;646;417;0;1290;0;0;7;0;1628;4628
09.01.2022;637;606;341;0;1321;0;0;7;0;1628;4540
10.01.2022;652;683;333;0;1331;0;0;0;0;1628;4627
11.01.2022;644;711;272;0;1400;0;0;0;0;1628;4654
12.01.2022;635;724;307;0;1419;0;0;0;0;1628;4714
13.01.2022;648;721;259;0;1337;0;0;0;0;1627;4593
14.01.2022;641;743;221;0;1369;0;0;0;0;1626;4600
15.01.2022;655;667;314;0;1313;0;0;8;0;1630;4588
16.01.2022;648;674;245;0;1323;0;0;16;0;1629;4535
17.01.2022;646;727;255;0;1322;0;0;0;0;1653;4602
18.01.2022;646;725;289;0;1246;0;0;0;0;1628;4535
19.01.2022;646;717;358;0;1354;0;0;0;0;1627;4703
20.01.2022;651;794;313;0;1371;0;0;0;0;1628;4758
21.01.2022;672;808;310;0;1344;0;0;0;0;1628;4763
22.01.2022;652;620;341;0;1349;0;0;0;0;1628;4591
23.01.2022;645;629;309;0;1336;0;0;0;0;1628;4546
24.01.2022;639;743;333;0;1281;0;0;0;0;1629;4625
25.01.2022;641;709;356;0;1322;0;0;0;0;1654;4681
26.01.2022;628;779;391;0;1342;0;0;0;0;1653;4794
27.01.2022;655;729;492;0;1374;0;0;0;0;1654;4904
28.01.2022;640;709;309;0;1324;0;0;0;0;1654;4636
29.01.2022;647;606;509;0;1339;0;0;0;0;1653;4756
30.01.2022;657;620;483;0;1332;0;0;2;0;1654;4749
31.01.2022;657;644;437;0;1315;0;0;0;0;1658;4710
01.02.2022;632;718;532;0;1354;0;0;0;0;1754;4990
02.02.2022;640;603;531;0;1352;0;0;0;0;1755;4881
03.02.2022;643;564;605;0;1344;0;0;0;0;1760;4916
04.02.2022;643;615;629;0;1360;0;0;0;0;1755;5002
05.02.2022;650;598;525;0;1384;0;0;0;0;1758;4914
06.02.2022;650;600;548;0;1384;0;0;2;0;1756;4940
07.02.2022;659;675;499;0;1380;0;0;0;0;1758;4970
08.02.2022;659;622;530;0;1330;0;0;0;0;1753;4895
09.02.2022;660;563;595;0;1379;0;0;0;0;1756;4953
10.02.2022;652;559;491;0;1358;0;0;0;0;1715;4775
11.02.2022;613;656;432;0;1394;0;0;0;0;1712;4806
12.02.2022;649;723;551;0;1368;0;0;0;0;1713;5005
13.02.2022;656;705;543;0;1392;0;0;0;0;1715;5011
14.02.2022;647;675;588;0;1335;0;0;0;0;1726;4972
15.02.2022;638;676;532;0;1343;0;0;0;0;1756;4945
16.02.2022;654;583;616;0;1294;0;0;0;0;1638;4786
17.02.2022;646;582;628;0;1269;0;0;0;0;1643;4768
18.02.2022;640;581;537;0;1206;0;0;0;0;1700;4665
19.02.2022;646;573;481;0;1225;0;0;0;0;1643;4569
20.02.2022;645;520;434;0;1249;0;0;1;0;1643;4492
21.02.2022;671;613;427;0;1273;0;0;0;0;1644;4628
22.02.2022;647;601;408;0;1268;0;0;0;0;1701;4625
23.02.2022;641;577;447;0;1328;0;0;0;0;1759;4752
24.02.2022;645;555;469;0;1306;0;0;0;0;1754;4729
25.02.2022;633;615;365;48;1236;0;0;4;0;1754;4656
26.02.2022;658;549;474;107;1257;0;0;8;0;1762;4814
27.02.2022;642;597;484;0;1262;0;0;13;0;1755;4752
28.02.2022;642;602;528;36;1299;0;0;0;0;1752;4858
01.03.2022;642;621;407;167;1284;0;0;0;0;1750;4872
02.03.2022;636;663;354;175;1252;0;0;5;0;1757;4842
03.03.2022;647;699;429;141;1222;0;0;5;0;1704;4848
04.03.2022;658;700;344;103;1304;0;0;1;0;1798;4908
05.03.2022;669;647;275;138;1271;0;0;16;19;1767;4802
06.03.2022;679;644;310;135;1273;0;0;15;13;1754;4822
07.03.2022;662;707;345;127;1296;0;0;0;0;1759;4895
08.03.2022;631;669;441;176;1297;0;0;0;0;1756;4970
09.03.2022;636;585;499;177;1294;0;0;0;0;1755;4945
10.03.2022;642;601;447;176;1291;0;0;0;0;1754;4911
11.03.2022;651;618;591;192;1229;0;0;0;0;1759;5040
12.03.2022;635;533;536;205;1277;0;0;0;0;1751;4937
13.03.2022;646;567;511;204;1276;0;0;0;0;1755;4960
14.03.2022;645;556;476;243;1290;0;0;0;0;1759;4968
15.03.2022;643;634;425;0;1258;0;0;0;0;1757;4716
16.03.2022;644;664;481;0;1082;0;0;0;0;1605;4476
17.03.2022;655;637;583;0;1159;0;0;0;0;1498;4533
18.03.2022;643;625;638;0;1197;0;0;0;0;1370;4473
19.03.2022;637;591;690;0;1270;0;0;0;117;1379;4684
20.03.2022;643;625;669;0;1268;0;0;0;151;1381;4737
21.03.2022;645;551;575;0;1280;0;0;0;0;1457;4508
22.03.2022;622;535;639;0;1283;0;0;0;0;1576;4655
23.03.2022;649;547;577;0;1251;0;0;0;0;1565;4589
24.03.2022;645;495;706;0;1244;0;0;0;27;1691;4808
25.03.2022;643;468;675;0;1099;0;0;0;97;1758;4740
26.03.2022;674;469;671;0;1126;0;0;0;105;1757;4803
27.03.2022;656;492;669;0;1203;0;0;0;128;1756;4904
28.03.2022;655;525;607;0;1223;0;0;0;57;1766;4833
29.03.2022;712;470;544;0;1277;0;0;0;35;1756;4794
30.03.2022;715;598;595;135;1275;0;0;0;23;1756;5097
31.03.2022;651;599;693;139;1257;0;0;0;22;1756;5118
01.04.2022;681;827;670;0;1458;0;0;0;0;1755;5392
02.04.2022;656;773;779;0;1443;0;0;5;0;1756;5412
03.04.2022;678;691;823;0;1479;0;0;2;0;1756;5429
04.04.2022;673;693;827;0;1451;0;0;0;0;1761;5405
05.04.2022;642;772;826;0;1448;0;0;0;0;1762;5449
06.04.2022;670;752;827;83;1450;0;0;0;0;1756;5538
07.04.2022;668;716;826;0;1388;0;0;0;16;1750;5364
08.04.2022;602;824;818;0;1407;0;0;1;55;1756;5463
09.04.2022;659;731;802;0;1436;0;0;9;48;1756;5441
10.04.2022;649;788;821;0;1417;0;0;2;12;1756;5445
11.04.2022;653;795;822;0;1422;0;0;0;0;1762;5455
12.04.2022;667;602;820;0;1437;0;0;0;0;1757;5283
13.04.2022;659;565;811;0;1422;0;0;0;0;1756;5212
14.04.2022;664;569;800;0;1281;0;0;0;0;1751;5065
15.04.2022;660;534;792;0;1282;0;0;0;0;1756;5024
16.04.2022;662;514;789;0;1286;0;0;0;0;1760;5012
17.04.2022;649;507;807;0;1295;0;0;0;4;1754;5017
18.04.2022;641;521;803;0;1283;0;0;0;46;1755;5051
19.04.2022;646;615;804;0;1308;0;0;0;0;1752;5125
20.04.2022;664;627;842;0;1335;0;0;0;0;1758;5226
21.04.2022;665;695;843;0;1368;0;0;0;0;1757;5328
22.04.2022;656;686;821;0;1337;0;0;0;0;1752;5252
23.04.2022;660;615;834;0;1383;0;0;0;0;1745;5236
24.04.2022;686;683;833;0;1394;0;0;0;2;1756;5355
25.04.2022;693;840;694;0;1525;0;0;0;95;1761;5608
26.04.2022;680;603;762;0;1476;0;0;0;198;1757;5476
27.04.2022;669;566;737;0;1267;0;0;0;20;1734;4992
28.04.2022;677;671;771;0;1276;0;0;0;14;1730;5139
29.04.2022;673;638;787;0;1287;0;0;0;0;1735;5120
30.04.2022;675;599;717;0;1140;0;0;0;0;1731;4862
01.05.2022;617;572;664;0;1171;0;0;0;0;1736;4760
02.05.2022;614;524;707;0;1055;0;0;0;0;1756;4657
03.05.2022;622;580;768;0;1056;0;0;0;0;1756;4783
04.05.2022;616;582;785;0;1048;0;0;0;0;1756;4786
